آرام سمندر;Тихий океан
آيرلېنډ;Ирландия
آيوډين;хим. иод (йод)
اپريل;апрель
اتريش;Австрия
اتل;чемпион
اتلانتيک سمندر;Атлантический океан
اتم;восьмой
اته;восемь
اتوب;соус
اتيزم;филос. атеизм
احساس;чувство
ارسېنک;хим. мышьяк
ارمغان;подарок
اروپا;геогр. Европа
ازربايجان;Азербайджан
اړول;изменять, менять
اسپانيا;Испания
اسپه;зоол. кобыла
استانبول;Стамбул
اسرايل;Израиль
اسمان;небо
اسمايي;синий
افغانستان;геогр. Афганистан
اکتوبر;октябрь
اګست;август
الوتل;летать
امام;религ. имам
امريکايی;американский
انډاره;анат. кишка
انډورا;рекомендации
انسان;человек
انسولين;биохим. инсулин
او;и
اوبه;вода
اوڅنډی;геометр. семиугольник, гептагон
اوريځ;облако
اوړۍ;лето
اوښ;зоол. верблюд
اوکراین;Украина
اونۍ;неделя
اووه;семь
اووه لس;семнадцать
ايداد;наказание
ایتوپیا;Эфиопия
اېږه;зоол. медведь (Ursus)
اېسټروجن;биохим. эстроген
باب;дверь
بابا;папа, отец
باباجی;дед
بابازی;бабази (подразделение момандов)
بابت;вопрос
بابر;лев
بابو;чиновник
بابولاله;свадебное причитание, заплачка
باتور;богатырь
باتينګر;ботан. помидор, томат (растение, Solanum lycopersicum)
باټ;оселок
باټول;точить
باج;дань
باجګير;сборщик дани
باجوړ;Баджаур
باچا;царь
باچهی;королевство
باختر;Бактрия
باد;ветер
بادرنګ;огурец
بادشاه;падишах
بادغيس;Бадгис
بار;есть, имеется, существует
باران;дождь
باربېليزه;незамужняя
بارخو;щека
بارول;грузить
باز;зоол. орёл (Aquila)
بازو;анат. рука
بازی;игра
باښه;орнитол. сокол
بايسکل;велосипед
بحث کول;спорить, дискутировать
بخشش;подарок
بد;бубон
بدر;ватное дерево
بدلول;изменять, менять
بدمخی;невежливый, недружественный
بدن;тело
برق;физ. электричество
برېت;усы
بزغاله;энтомол. пчела
بشر;человек, тело
بطلان;тщеславие
بلجيم;Бельгия
بلۍ;крыша
بوټپوهنه;ботаника
بورا;энтомол. шмель (Bombus Latreille)
بوره;сахар
بير;пиво
بيزو;зоол. обезьяна
بېلاروس;Белоруссия
پاسپورټ;паспорт
پاکستان;Пакистан
پانگوالي;капитализм
پاڼه;ботан. лист
پاڼوځی;книжная лавка, книжный магазин
پتخه;орнитол. утка
پتنګ;зоол. бабочка, мотылёк
پخلوځی;кухня
پخلېځی;кухня
پرتګال;Португалия
پرتوګ;штаны
پرون;вчера
پريښته;религ. ангел
پړانګ;тигр
پسرلۍ;весна
پښه;анат. нога
پل;мост
پلاتين;хим. платина
پلار;отец, папа
پلازمېنه;столица
پلورتون;рынок
پلورځی;магазин
پلورل;продавать
پنجسنبه;четверг
پنځم;пятый
پنځه;пять
پنځوسم;пятидесятый
پنسلوانیا;Пенсильвания
پنير;сыр
پوتاشيم;хим. калий
پوزه;нос
پوښتنه;вопрос
پولاد;сталь
پولنډ;Польша
پونده;анат. пятка, пята
پوهنتون;университет
پوهېدل;понимать
پيرو;геогр. Перу
پيسې;деньги
پيشو;кошка
پيل;слон
پېشکش;подарок
تاجکستان;Таджикистан
تارتوک;подарок
تارو;зоол. бабочка, мотылёк
تايلنډ;Таиланд
تبرګۍ;топор
تبی;соус
تحفه;подарок
تود;тёплый
تودښت;температура
توده;тёплый, горячий
تودوخه;температура
تور;чёрный
ټاپو;остров
ټکسي;такси
ټکنالوجي;технология
ټولنپوهنه;социология
ټولنه;общество
جاهلی;невежество
جر;вода
جزيره نما;полуостров
جګړه;война
جلنانۍ;кухня
جمايکا;Ямайка
جمهوريت;республика
جنګل;лес
جنوري;январь
جهيل;геогр. озеро
جولاي;июль
جون;июнь
چارځی;завод
چارسنبه ؛ چارشنبې;среда (день недели)
چاړه;нож
چاکو;нож
چاي;чай
چت;крыша
چشمې;очки
چونګښه;зоол. лягушка
چين;Китай
چينجۍ;зоол. червь, червяк
حر;свободный
حرکت;движение
خبرې کول;говорить, разговаривать
خت;рубаха, рубашка
ختيځ;восток
خداې;бог
خر;зоол. осёл, ишак (Equus asinus asinus)
خراتګه;ветвь
خړ;серый
خښته;кирпич
خط;письмо
خطاط;каллиграф
خلکو جمهوري بنګله دېش;Народная Республика Бангладеш
خنځير;зоол. свинья
خندل;смеяться
خواږه;подсластитель
خور;сестра (дочь тех же родителей)
خوړنځی;кафе
خوګ;зоол. свинья
خوله;геогр. устье (реки)
خونه;комната
ځای;место
ځنډول;таблица
ځواک;сила
ځوان;молодой
څارويتون;больница для животных, ветеринарный госпиталь
څټ;анат. спина
څلور;четыре
څلورم;четвёртый
څنګل;анат. локоть
څېټۍ;молот, молоток
داد;закон
دارو;лекарство, медикамент
داش;гончарная печь
دام;цена
دانه;зерно
درد;боль
درملپوهنه;фармакология
درملتون;аптека
دريم;третий
درې;три
درېيځ;геометр. куб
دسمبر;декабрь
دښته;геогр. пустыня
دښمن;враг
دعا;молитва
دو;бег
دواخانه;аптека
دود;дым
دوست;друг
دوشنبې;понедельник
دوه;два
دويم;второй
دیرش;тридцать
دېوال;архит. стена
ډبره;камень
ډډون;экон. инфляция
ډګه;пенис, половой член
ډوډۍ;хлеб
ډيکشنري;словарь (собрание языковых единиц с описаниями)
ډېنمارک;Дания
رابللی;гость
رالیږونکي;муз. виолончель
رټل;ругать
رس;продовольствие
رستوران;ресторан
روپۍ;рупия
رود;река
روسيه;Россия
روغتون;больница, госпиталь
روغتيا;здоровье
رومانیا;Румыния
رېږدله;землетрясение
زاګرېب;Загреб
زر;золото
زړه;анат. сердце
زمرۍ;зоол. лев (Panthera leo)
زنګون;анат. колено
زنه;анат. подбородок
زه;я
زهر;яд, отрава
زوي;сын
ږغ;голос
ږيره;борода
ژبپوهنه;лингвистика
ژبه;язык (мышечный орган)
ژګاګ;скунс
ژمۍ;зима
ژور;глубокий
ژوند;жизнь
ژوندپوهنه;биология
ژوي;животное
ژېړ;жёлтый
ساباوري;религ. анимизм
ساعت;час
سپتمبر;сентябрь
سپنج;губка
سپوږمۍ;луна
سپين;белый
سپۍ;зоол. собака
ستار;сетар (муз. инструмент)
ستاره;звезда
ستر;семьдесят
سترګه;глаз
سترنج;шахматы
ستنځی;тюрьма
سخی;телёнок
سر;анат. голова
سرکس;цирк
سرکه;уксус
سړی;человек
سړۍ;мужчина, муж
سکالو;диалог, обсуждение, разговор
سګرېټ;сигарета
سل;туберкулёз
سلفر;хим. сера
سليکان;хим. кремний
سم;яд
سه شنبه;вторник
سوډان;Судан
سوريه;Сирия
سويس;Швейцария
سویډن;Швеция
سياره;астрон. планета
سيلۍ;ветер
سيمه;регион
سيند;река
سينگاپور;Сингапур
سېرک;цирк
شا;анат. спина
شات;мёд
شپږ;шесть
شپږم;шестой
شپه;ночь
شپييتم;шестидесятый
شډل;невежливый
شربت;шербет
شفتالو;персик (плод)
شګه;песок
شمارل;нумеровать
شمالي قطبي سمندر;Северный Ледовитый океан
شمعه;свеча (осветительное приспособление)
شونډه;анат. губа
شيدې;молоко
شين;зелёный
ښار;город
ښځه;женщина
ښوونځی;школа
ښوونکی;учитель
ښوونکې;учительница
صابون;мыло
طالب;учащийся
طبعت;природа
عينکې;очки
غاټول;ботан. тюльпан (Tulipa)
غاړه;анат. шея
غاښ;анат. зуб
غده;анат. железа
غرمه;полдень
غږ;голос
غشۍ;стрела
غنم;пшеница
غڼه;зоол. паук
غوږ;ухо
غيڼ;вульг. член, хрен, хуй
فبروري;февраль
فرانسه;Франция
فزيک;физика
فلورين;хим. фтор
فلېپين;Филиппины
قازه;зоол. гусь (Anser)
قاموس;словарь
قلعه;крепость
قلعي;хим. олово
قو;зоол. лебедь
كلى;село
كوټه;комната
کارغه;зоол. ворона (Corvus)
کارګه;зоол. ворона (Corvus)
کاشوغه;ложка
کاغذ;бумага
کال;год
کب;рыба
کچالو;картофель
کرېشنا;Кришна
کړکۍ;окно
کلسيم;хим. кальций
کلورين;хим. хлор
کلي;ключ
کنګل;лёд
کوټ;хим. цинк
کوڅه;улица
کورنۍ;семья
کوږبل;зоол. гиена
کول;делать
کيشپ;зоол. черепаха
کيميا;химия
ګبينه;мёд
ګټار;муз. гитара
ګران;дорогой, дорогостоящий
ګړدود;лингв. диалект
ګل;цветок
ګوته;анат. палец
ګوګړ;хим. сера
ګونګټ;энтомол. жук
ګيدړه;зоол. лиса, лисица (vulpes)
گازره;ботан. морковь (Daucus)
گرافېن;физ. графен
لاتويا;геогр. Латвия
لار;путь
لاس;анат. рука (кисть)
لړم;зоол. скорпион
لس;десять
لغت;слово
لنګۍ;анат. нога
لهجه;лингв. диалект
لور;серп
لوگزامبورگ;Люксембург
لومړۍ;первый
لوې;большой
ليکوال;писатель
لېوه;зоол. волк (Canis lupus)
مار;зоол. змея (serpens)
ماشين;машина
مالګه;соль
مالېکول;хим. молекула
مانتېنېگرو;Черногория
ماڼۍ;здание, строение
مټ;анат. рука
مچئِي;энтомол. пчела
مخ;страница
مذهب;религия; вероисповедание
مرغلره;жемчуг
مرغه;зоол. птица
مړ;мёртвый
مړل;умирать
مړينه;смерть
مس;хим. медь
مشت;кулак
معدن;минерал
مګنيزيم;хим. магний
ملاريا;мед. малярия
ملګرۍ;друг
منګال;большой серп
منۍ;осень
مڼه;яблоко (плод яблони)
مور;павлин
موریتانیا;Мавритания
موږ;мы
موږک;зоол. мышь (mus)
موسكا;улыбка
مياشت;месяц
مېخ;гвоздь
مېږۍ;муравей
مېلمه;гость
ناروې;Норвегия
نايتروجن;хим. азот
نهم;девятый
نهه;девять
نور;свет
نوم;имя
نومبر;ноябрь
نيپال;Непал
نيکل;хим. никель
نيوټرون;физ. нейтрон
نیکاراگوا;Никарагуа
نیکوتین;никотин
نېمبیا;Намибия
هاندوراس;Гондурас
هديه;подарок
هسك;небо
هګۍ;яйцо
هماليۀ;Гималаи
همېل;колье, ожерелье
هند;Индия
هنداره;зеркало
هندويزم;религ. индуизм
هندي سمندر;Индийский океан
هنګری;Венгрия
هوا;погода
هوټل;ресторан
هېلۍ;орнитол. утка
واورتون;дом из снега
واوره;снег
وچکښ;карандаш
وخت;время
ودان;благоустроенный
ورځ;день
ورږه;зоол. блоха (Pulex)
وروځه;бровь
ورور;брат
ورېښم;шёлк
وزر;анат. крыло
وړوکتون;детский сад
وګړپوهنه;антропология
ولسمشر;президент
ولسولي;округ
وله;ботан. ива, верба (Salix)
ونه;дерево (растение)
وينه;кровь
وېره;страх
يروشلم;Иерусалим
يکشنبه;воскресенье
يو;один
يونی;путешественник
